changepoint_prior_scale,holidays_prior_scale,n_changepoints,seasonality_mode,seasonality_prior_scale,mse,rmse,mae,mape,r2
0.7,0.01,10,additive,0.01,92.11527407632428,9.597670242112107,8.677713669897978,0.046506416014118014,-3.8045333434475523
0.7,0.01,10,additive,0.1,559.8960634124768,23.66212296926201,22.779899811658925,0.1213477668799597,-28.202966961824096
0.7,0.01,10,additive,1.0,486.1458195010215,22.048714690453533,21.202290369469104,0.11297605004916339,-24.356313846876148
0.7,0.01,10,additive,10.0,510.54369871214067,22.59521406652614,21.74036917472402,0.11583254647931622,-25.628854425565653
0.7,0.01,10,multiplicative,0.01,49.88451215063692,7.062896866770527,5.679814617552361,0.03060375630991094,-1.601868195612857
0.7,0.01,10,multiplicative,0.1,401.55113355442137,20.038740817586852,19.022647222081694,0.10139061288897754,-19.944038104504145
0.7,0.01,10,multiplicative,1.0,624.4066133032122,24.988129447864083,23.819116698966376,0.1268289427275045,-31.567697632845757
0.7,0.01,10,multiplicative,10.0,703.949977481019,26.5320556587879,25.312716790057546,0.1347515870155542,-35.716507363636
0.7,0.01,25,additive,0.01,88.58254399446108,9.411830002420416,8.096433060150444,0.043741441286855254,-3.6202737877776805
0.7,0.01,25,additive,0.1,70.04979645468201,8.369575643644188,7.069573983124634,0.03816805212946449,-2.6536457839703322
0.7,0.01,25,additive,1.0,66.21163848853104,8.137053427901959,7.124720167046172,0.038294211626182545,-2.4534557708514235
0.7,0.01,25,additive,10.0,72.04003316834928,8.487640023489996,7.0974534183864515,0.038351747148852464,-2.7574522237605987
0.7,0.01,25,multiplicative,0.01,69.32486121088894,8.326155247825309,7.018578456408462,0.037939151011048174,-2.6158347305313745
0.7,0.01,25,multiplicative,0.1,109.07412339571519,10.443855772448947,9.181217314990404,0.04853858112641621,-4.689070222250136
0.7,0.01,25,multiplicative,1.0,167.8893118191909,12.95721080399601,10.857837499123388,0.05726371983951696,-7.7567431648242575
0.7,0.01,25,multiplicative,10.0,275.24792955956684,16.59059762514801,13.33109063545454,0.07016568344929015,-13.356336324724008
0.7,0.01,50,additive,0.01,45.89587985059449,6.774649795420756,5.6954400188467345,0.030759344468953502,-1.3938297668890018
0.7,0.01,50,additive,0.1,111.89195037202505,10.577899147374447,9.88939616205628,0.053000681467859655,-4.836041979100462
0.7,0.01,50,additive,1.0,107.45362397702564,10.365983984987901,9.656087269492877,0.05175966000682024,-4.604548479594512
0.7,0.01,50,additive,10.0,115.40196094825374,10.742530472298123,10.041203860260879,0.053801801143840304,-5.019116534525128
0.7,0.01,50,multiplicative,0.01,32.02683478083646,5.6592256343811265,4.86446912198596,0.02618531754443928,-0.6704503909104
0.7,0.01,50,multiplicative,0.1,37.24278955347644,6.1026870764833125,5.221065092657813,0.02815069372466506,-0.9425033036803165
0.7,0.01,50,multiplicative,1.0,39.227829939237765,6.263212429675187,5.331492415735643,0.028758365332457465,-1.0460387142527043
0.7,0.01,50,multiplicative,10.0,68.86188433177176,8.298306112199752,7.312230647826071,0.039373688727274966,-2.59168685847358
0.7,0.1,10,additive,0.01,90.6961499872218,9.523452629546798,8.593682868199656,0.04605010911027724,-3.7305149021743587
0.7,0.1,10,additive,0.1,474.7940863872006,21.789770223368592,20.921049235961547,0.11147056170439719,-23.764232014648414
0.7,0.1,10,additive,1.0,563.0993309890173,23.72971409412716,22.825009047542398,0.1215765062973744,-28.370042466226565
0.7,0.1,10,additive,10.0,577.2038055084215,24.025066191551304,23.11570418960069,0.12311983863518397,-29.10570133279125
0.7,0.1,10,multiplicative,0.01,46.81163249571313,6.841902695574757,5.446715019711552,0.029348015377801535,-1.4415934430213362
0.7,0.1,10,multiplicative,0.1,402.9083474367681,20.072577000394546,19.01524088024076,0.10133352508289496,-20.01482744337667
