ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021. 1. 4 오전 12:00:00,125.8372932,127.5923622,138.6880723,125.8372932,125.8372932,7.13027372,7.13027372,7.13027372,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,4.608727923,4.608727923,4.608727923,0,0,0,132.9675669
2021. 1. 7 오전 12:00:00,125.6894966,126.4642279,137.672933,125.6894966,125.6894966,6.335828873,6.335828873,6.335828873,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,3.971637136,3.971637136,3.971637136,0,0,0,132.0253254
2021. 1. 8 오전 12:00:00,125.640231,126.8587891,137.5327693,125.640231,125.640231,6.261062538,6.261062538,6.261062538,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,3.768671163,3.768671163,3.768671163,0,0,0,131.9012936
2021. 1. 11 오전 12:00:00,125.4924344,125.3814954,136.4540801,125.4924344,125.4924344,5.779250896,5.779250896,5.779250896,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,3.257705099,3.257705099,3.257705099,0,0,0,131.2716853
2021. 1. 14 오전 12:00:00,125.3446378,125.6660683,136.1297735,125.3446378,125.3446378,5.362331612,5.362331612,5.362331612,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,2.998139875,2.998139875,2.998139875,0,0,0,130.7069694
2021. 1. 15 오전 12:00:00,125.2953723,124.9078869,136.2615331,125.2953723,125.2953723,5.480327035,5.480327035,5.480327035,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,2.987935661,2.987935661,2.987935661,0,0,0,130.7756993
2021. 1. 20 오전 12:00:00,125.0490446,125.6376294,136.3623475,125.0490446,125.0490446,6.132396644,6.132396644,6.132396644,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,3.621087974,3.621087974,3.621087974,0,0,0,131.1814412
2021. 1. 21 오전 12:00:00,124.9997791,125.6744737,136.617125,124.9997791,124.9997791,6.250314416,6.250314416,6.250314416,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,3.886122679,3.886122679,3.886122679,0,0,0,131.2500935
2021. 1. 25 오전 12:00:00,124.8027169,127.1297128,137.8648449,124.8027169,124.8027169,7.840393907,7.840393907,7.840393907,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,5.31884811,5.31884811,5.31884811,0,0,0,132.6431108
2021. 1. 27 오전 12:00:00,124.7041858,127.980164,138.9982697,124.7041858,124.7041858,8.689962487,8.689962487,8.689962487,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,6.178653818,6.178653818,6.178653818,0,0,0,133.3941483
