ds,yhat,yhat_upper,yhat_lower
2024-01-01,192.5299988,196.8049926,188.255005
2024-01-02,192.5299988,196.8030819,188.2569157
2024-01-03,192.5299988,196.8011738,188.2588238
2024-01-04,192.5299988,196.7992683,188.2607292
2024-01-05,192.5299988,196.7973654,188.2626321
2024-01-06,192.5299988,196.795465,188.2645326
2024-01-07,192.5299988,196.7935671,188.2664305
2024-01-08,192.5299988,196.7916718,188.2683258
2024-01-09,192.5299988,196.7897789,188.2702187
2024-01-10,192.5299988,196.7878887,188.2721089
2024-01-11,192.5299988,196.7860008,188.2739968
2024-01-12,192.5299988,196.7841155,188.2758821
2024-01-13,192.5299988,196.7822328,188.2777648
2024-01-14,192.5299988,196.7803525,188.279645
2024-01-15,192.5299988,196.7784747,188.2815228
2024-01-16,192.5299988,196.7765994,188.2833982
2024-01-17,192.5299988,196.7747266,188.285271
2024-01-18,192.5299988,196.7728563,188.2871413
2024-01-19,192.5299988,196.7709884,188.2890091
2024-01-20,192.5299988,196.769123,188.2908746
2024-01-21,192.5299988,196.76726,188.2927375
2024-01-22,192.5299988,196.7653995,188.294598
2024-01-23,192.5299988,196.7635415,188.296456
2024-01-24,192.5299988,196.7616859,188.2983116
2024-01-25,192.5299988,196.7598327,188.3001649
2024-01-26,192.5299988,196.757982,188.3020155
2024-01-27,192.5299988,196.7561337,188.3038639
2024-01-28,192.5299988,196.7542879,188.3057096
2024-01-29,192.5299988,196.7524443,188.3075532
2024-01-30,192.5299988,196.7506034,188.3093942
2024-01-31,192.5299988,196.7487647,188.3112329
