ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (observed),Independence Day (observed)_lower,Independence Day (observed)_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Juneteenth National Independence Day (observed),Juneteenth National Independence Day (observed)_lower,Juneteenth National Independence Day (observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-04,130.86096657316588,127.37652564937518,136.8356187731452,130.86096657316588,130.86096657316588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4128536133388614,1.4128536133388614,1.4128536133388614,0.011747368328191251,0.011747368328191251,0.011747368328191251,0.0,0.0,0.0,-0.02630716485139232,-0.02630716485139232,-0.02630716485139232,1.4274134098620626,1.4274134098620626,1.4274134098620626,0.0,0.0,0.0,132.27382018650474
2021-01-05,130.84058507451724,127.22639971874736,136.59697710486208,130.84058507451724,130.84058507451724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2414153564858637,1.2414153564858637,1.2414153564858637,0.011747368328191902,0.011747368328191902,0.011747368328191902,0.0,0.0,0.0,0.07052787227376728,0.07052787227376728,0.07052787227376728,1.1591401158839045,1.1591401158839045,1.1591401158839045,0.0,0.0,0.0,132.0820004310031
2021-01-06,130.8202035758686,127.19073011093452,136.40094382195946,130.8202035758686,130.8202035758686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709226039965263,0.9709226039965263,0.9709226039965263,0.011747368328192554,0.011747368328192554,0.011747368328192554,0.0,0.0,0.0,0.05401170340050358,0.05401170340050358,0.05401170340050358,0.9051635322678302,0.9051635322678302,0.9051635322678302,0.0,0.0,0.0,131.7911261798651
2021-01-07,130.79982207721991,126.91312010821524,136.03258486067497,130.79982207721991,130.79982207721991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5840731878363997,0.5840731878363997,0.5840731878363997,0.011747368328191838,0.011747368328191838,0.011747368328191838,0.0,0.0,0.0,-0.09775296194804203,-0.09775296194804203,-0.09775296194804203,0.67007878145625,0.67007878145625,0.67007878145625,0.0,0.0,0.0,131.3838952650563
2021-01-08,130.77944057857127,127.02180784929439,135.6073856378614,130.77944057857127,130.77944057857127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47278461315385895,0.47278461315385895,0.47278461315385895,0.011747368328192492,0.011747368328192492,0.011747368328192492,0.0,0.0,0.0,0.0024550326330281713,0.0024550326330281713,0.0024550326330281713,0.4585822121926383,0.4585822121926383,0.4585822121926383,0.0,0.0,0.0,131.25222519172513
2021-01-11,130.71829608262533,126.08244116262216,135.13541564884088,130.71829608262533,130.71829608262533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027372508435960998,-0.0027372508435960998,-0.0027372508435960998,0.011747368328191671,0.011747368328191671,0.011747368328191671,0.0,0.0,0.0,-0.026307164851609045,-0.026307164851609045,-0.026307164851609045,0.01182254567982127,0.01182254567982127,0.01182254567982127,0.0,0.0,0.0,130.71555883178172
2021-01-12,130.69791458397668,126.00921355562673,135.4127399329178,130.69791458397668,130.69791458397668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02207880689074999,0.02207880689074999,0.02207880689074999,0.011747368328192325,0.011747368328192325,0.011747368328192325,0.0,0.0,0.0,0.07052787227398885,0.07052787227398885,0.07052787227398885,-0.06019643371143117,-0.06019643371143117,-0.06019643371143117,0.0,0.0,0.0,130.71999339086744
2021-01-13,130.677533085328,125.83407049379613,135.67984885408163,130.677533085328,130.677533085328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02180554904467478,-0.02180554904467478,-0.02180554904467478,0.011747368328191567,0.011747368328191567,0.011747368328191567,0.0,0.0,0.0,0.0540117034004626,0.0540117034004626,0.0540117034004626,-0.08756462077332894,-0.08756462077332894,-0.08756462077332894,0.0,0.0,0.0,130.65572753628334
2021-01-14,130.65715158667936,125.86530554680584,135.50706867359554,130.65715158667936,130.65715158667936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15339474541430148,-0.15339474541430148,-0.15339474541430148,0.011747368328190852,0.011747368328190852,0.011747368328190852,0.0,0.0,0.0,-0.0977529619482237,-0.0977529619482237,-0.0977529619482237,-0.06738915179426866,-0.06738915179426866,-0.06738915179426866,0.0,0.0,0.0,130.50375684126507
2021-01-15,130.63677008803072,126.24416657254565,135.27769670410063,130.63677008803072,130.63677008803072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016717463017878683,0.016717463017878683,0.016717463017878683,0.011747368328191505,0.011747368328191505,0.011747368328191505,0.0,0.0,0.0,0.002455032633101716,0.002455032633101716,0.002455032633101716,0.0025150620565854657,0.0025150620565854657,0.0025150620565854657,0.0,0.0,0.0,130.65348755104858
2021-01-19,130.5552440934361,126.82748538950085,135.7806608996359,130.5552440934361,130.5552440934361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8755281827328064,0.8755281827328064,0.8755281827328064,0.011747368328192745,0.011747368328192745,0.011747368328192745,0.0,0.0,0.0,0.07052787227397356,0.07052787227397356,0.07052787227397356,0.7932529421306401,0.7932529421306401,0.7932529421306401,0.0,0.0,0.0,131.4307722761689
2021-01-20,130.53486259478746,127.47892987560361,136.57715442367953,130.53486259478746,130.53486259478746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1795340892348123,1.1795340892348123,1.1795340892348123,0.011747368328192028,0.011747368328192028,0.011747368328192028,0.0,0.0,0.0,0.054011703400421614,0.054011703400421614,0.054011703400421614,1.1137750175061987,1.1137750175061987,1.1137750175061987,0.0,0.0,0.0,131.71439668402226
2021-01-21,130.5144810961388,127.1771082081644,136.3075130673785,130.5144810961388,130.5144810961388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3918797517185755,1.3918797517185755,1.3918797517185755,0.011747368328191274,0.011747368328191274,0.011747368328191274,0.0,0.0,0.0,-0.0977529619481637,-0.0977529619481637,-0.0977529619481637,1.4778853453385479,1.4778853453385479,1.4778853453385479,0.0,0.0,0.0,131.90636084785737
2021-01-22,130.45657330646546,127.83834946909073,136.89761238495385,130.45657330646546,130.45657330646546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8952160234057644,1.8952160234057644,1.8952160234057644,0.011747368328191924,0.011747368328191924,0.011747368328191924,0.0,0.0,0.0,0.002455032632794312,0.002455032632794312,0.002455032632794312,1.881013622444778,1.881013622444778,1.881013622444778,0.0,0.0,0.0,132.35178932987122
2021-01-25,130.28284993744538,128.76048112937573,138.02317703057946,130.28284993744538,130.28284993744538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2500085483672807,3.2500085483672807,3.2500085483672807,0.011747368328191106,0.011747368328191106,0.011747368328191106,0.0,0.0,0.0,-0.026307164851385883,-0.026307164851385883,-0.026307164851385883,3.264568344890475,3.264568344890475,3.264568344890475,0.0,0.0,0.0,133.53285848581265
2021-01-26,130.22494214777203,129.90039028502247,138.5758100943812,130.22494214777203,130.22494214777203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8419345252728343,3.8419345252728343,3.8419345252728343,0.011747368328191758,0.011747368328191758,0.011747368328191758,0.0,0.0,0.0,0.07052787227395826,0.07052787227395826,0.07052787227395826,3.7596592846706836,3.7596592846706836,3.7596592846706836,0.0,0.0,0.0,134.06687667304487
2021-01-27,130.16703435809868,129.91643654462908,139.00531268496962,130.16703435809868,130.16703435809868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.323689457063752,4.323689457063752,4.323689457063752,0.011747368328191041,0.011747368328191041,0.011747368328191041,0.0,0.0,0.0,0.05401170340085524,0.05401170340085524,0.05401170340085524,4.2579303853347055,4.2579303853347055,4.2579303853347055,0.0,0.0,0.0,134.49072381516243
2021-01-28,130.10912656842532,130.36475339764354,139.08942588907908,130.10912656842532,130.10912656842532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66438037569147,4.66438037569147,4.66438037569147,0.011747368328191692,0.011747368328191692,0.011747368328191692,0.0,0.0,0.0,-0.09775296194822453,-0.09775296194822453,-0.09775296194822453,4.750385969311503,4.750385969311503,4.750385969311503,0.0,0.0,0.0,134.7735069441168
2021-01-29,130.05121877875197,130.88295600865715,139.99325280227174,130.05121877875197,130.05121877875197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.241965343721018,5.241965343721018,5.241965343721018,0.011747368328192346,0.011747368328192346,0.011747368328192346,0.0,0.0,0.0,0.0024550326328486435,0.0024550326328486435,0.0024550326328486435,5.227762942759977,5.227762942759977,5.227762942759977,0.0,0.0,0.0,135.29318412247298
2021-02-01,129.8774954097319,131.7838253345989,140.8900442843412,129.8774954097319,129.8774954097319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.461901943824383,6.461901943824383,6.461901943824383,0.011747368328191525,0.011747368328191525,0.011747368328191525,0.0,0.0,0.0,-0.026307164851502605,-0.026307164851502605,-0.026307164851502605,6.476461740347695,6.476461740347695,6.476461740347695,0.0,0.0,0.0,136.33939735355628
2021-02-02,129.81958762005854,132.23098924557965,141.08618258471535,129.81958762005854,129.81958762005854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.884000844457279,6.884000844457279,6.884000844457279,0.01174736832819218,0.01174736832819218,0.01174736832819218,0.0,0.0,0.0,0.07052787227373024,0.07052787227373024,0.07052787227373024,6.801725603855357,6.801725603855357,6.801725603855357,0.0,0.0,0.0,136.70358846451583
2021-02-03,129.7616798303852,132.11382934217457,141.47434039889976,129.7616798303852,129.7616798303852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.133566075834905,7.133566075834905,7.133566075834905,0.011747368328191463,0.011747368328191463,0.011747368328191463,0.0,0.0,0.0,0.05401170340081424,0.05401170340081424,0.05401170340081424,7.0678070041059,7.0678070041059,7.0678070041059,0.0,0.0,0.0,136.89524590622008
2021-02-04,129.70377204071184,132.17683150369635,141.77134529038577,129.70377204071184,129.70377204071184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.181574447196313,7.181574447196313,7.181574447196313,0.011747368328192113,0.011747368328192113,0.011747368328192113,0.0,0.0,0.0,-0.09775296194816453,-0.09775296194816453,-0.09775296194816453,7.267580040816286,7.267580040816286,7.267580040816286,0.0,0.0,0.0,136.88534648790815
2021-02-05,129.6458642510385,132.46210363352284,141.09586222495264,129.6458642510385,129.6458642510385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.409072112394233,7.409072112394233,7.409072112394233,0.01174736832819136,0.01174736832819136,0.01174736832819136,0.0,0.0,0.0,0.0024550326329414065,0.0024550326329414065,0.0024550326329414065,7.394869711433101,7.394869711433101,7.394869711433101,0.0,0.0,0.0,137.05493636343272
