ds,yhat,yhat_lower,yhat_upper
2021-01-04,188.0399933,181.9568986,194.123088
2021-01-05,129.4100037,122.6630759,136.1569314
2021-01-06,131.0099945,124.2647463,137.7552427
2021-01-07,126.5999985,119.8533518,133.3466451
2021-01-08,130.9199982,124.1720994,137.6678969
2021-01-11,132.0500031,125.3040466,138.7959595
2021-01-12,128.9799957,122.2345695,135.7254219
2021-01-13,128.8000031,122.0566587,135.5433474
2021-01-14,130.8899994,124.1480253,137.6319735
2021-01-15,128.9100037,122.1694803,135.6505271
2021-01-19,127.1399994,120.4010694,133.8789294
2021-01-20,127.8300018,121.0931503,134.5668534
2021-01-21,132.0299988,125.2920809,138.7679167
2021-01-22,136.8699951,130.1299537,143.6100366
2021-01-25,139.0700073,132.331243,145.8087716
2021-01-26,142.9199982,136.1806238,149.6593726
2021-01-27,143.1600037,136.4228393,149.897168
2021-01-28,142.0599976,135.3247693,148.7952258
2021-01-29,137.0899963,130.3524163,143.8275764
2021-02-01,131.9600067,125.2197842,138.7002292
2021-02-02,134.1399994,127.4010653,140.8789335
2021-02-03,134.9900055,128.2530917,141.7269193
2021-02-04,133.9400024,127.2050379,140.6749669
2021-02-05,137.3899994,130.6550349,144.1249639
2021-02-08,136.7599945,130.0270872,143.4929018
2021-02-09,136.9100037,130.1792369,143.6407705
2021-02-10,136.0099945,129.2812231,142.7387659
2021-02-11,135.3899994,128.6632987,142.1167001
2021-02-12,135.1300049,128.4054304,141.8545794
2021-02-16,135.3699951,128.6475466,142.0924436
2021-02-17,133.1900024,126.4688263,139.9111786
2021-02-18,130.8399963,124.1199513,137.5600414
2021-02-19,129.7100067,122.991861,136.4281524
2021-02-22,129.8699951,123.1539737,136.5860165
2021-02-23,126,119.2833265,132.7166735
2021-02-24,125.8600006,119.1455155,132.5744857
2021-02-25,125.3499985,118.6375902,132.0624068
2021-02-26,120.9899979,114.2762731,127.7037227
2021-03-01,121.2600021,114.5483848,127.9716194
2021-03-02,127.7900009,121.0727996,134.5072022
2021-03-03,125.1200027,118.4036357,131.8363698
2021-03-04,122.0599976,115.344146,128.7758491
2021-03-05,120.1299973,113.4155039,126.8444906
2021-03-08,121.4199982,114.7073194,128.132677
2021-03-09,116.3600006,109.644824,123.0751772
2021-03-10,121.0899963,114.3729071,127.8070855
2021-03-11,119.9800034,113.2648038,126.6952029
2021-03-12,121.9599991,115.2462045,128.6737937
2021-03-15,121.0299988,114.3181563,127.7418412
2021-03-16,123.9899979,117.278796,130.7011997
2021-03-17,125.5699997,118.8603458,132.2796535
2021-03-18,124.7600021,118.0523328,131.4676715
2021-03-19,120.5299988,113.8212216,127.2387759
2021-03-22,119.9899979,113.2832676,126.6967281
2021-03-23,123.3899994,116.6832692,130.0967296
2021-03-24,122.5400009,115.8352642,129.2447376
2021-03-25,120.0899963,113.3862798,126.7937129
2021-03-26,120.5899963,113.8883275,127.2916652
2021-03-29,121.2099991,114.5103522,127.909646
2021-03-30,121.3899994,114.6924354,128.0875633
2021-03-31,119.9000015,113.2041277,126.5958754
2021-04-01,122.1500015,115.4553083,128.8446947
2021-04-05,123,116.3072609,129.6927391
2021-04-06,125.9000015,119.2078428,132.5921603
2021-04-07,126.2099991,119.5199028,132.9000953
2021-04-08,127.9000015,121.2114739,134.5885291
2021-04-09,130.3600006,123.6724704,137.0475308
2021-04-12,133,126.3133024,139.6866976
2021-04-13,131.2400055,124.5548291,137.9251819
2021-04-14,134.4299927,127.745131,141.1148543
2021-04-15,132.0299988,125.346127,138.7138706
2021-04-16,134.5,127.8171114,141.1828886
2021-04-19,134.1600037,127.479161,140.8408463
2021-04-20,134.8399963,128.1611364,141.5188563
2021-04-21,133.1100006,126.432672,139.7873292
2021-04-22,133.5,126.8247054,140.1752946
2021-04-23,131.9400024,125.2663352,138.6136697
2021-04-26,134.3200073,127.6473925,140.9926222
2021-04-27,134.7200012,128.0494137,141.3905887
2021-04-28,134.3899994,127.7214466,141.0585522
2021-04-29,133.5800018,126.913385,140.2466187
2021-04-30,133.4799957,126.8154274,140.1445641
2021-05-03,131.4600067,124.796764,138.1232494
2021-05-04,132.5399933,125.8785906,139.2013959
2021-05-05,127.8499985,121.1867475,134.5132495
2021-05-06,128.1000061,121.4387881,134.7612241
2021-05-07,129.7400055,123.0803544,136.3996566
2021-05-10,130.2100067,123.5523571,136.8676563
2021-05-11,126.8499985,120.1923489,133.5076481
2021-05-12,125.9100037,119.2542795,132.5657278
2021-05-13,122.7699966,116.1146336,129.4253597
2021-05-14,124.9700012,118.3157528,131.6242497
2021-05-17,127.4499969,120.7966966,134.1032973
2021-05-18,126.2699966,119.6184819,132.9215114
2021-05-19,124.8499985,118.2001578,131.4998391
2021-05-20,124.6900024,118.0421849,131.33782
2021-05-21,127.3099976,120.6629973,133.9569979
2021-05-24,125.4300003,118.7844021,132.0755985
2021-05-25,127.0999985,120.4559322,133.7440647
2021-05-26,126.9000015,120.2579491,133.5420539
2021-05-27,126.8499985,120.2099648,133.4900321
2021-05-28,125.2799988,118.6415493,131.9184483
2021-06-01,124.6100006,117.9734877,131.2465135
2021-06-02,124.2799988,117.6454806,130.914517
2021-06-03,125.0599976,118.4273845,131.6926106
2021-06-04,123.5400009,116.9089926,130.1710093
2021-06-07,125.8899994,119.2600305,132.5199683
2021-06-08,125.9000015,119.2720394,132.5279637
2021-06-09,126.7399979,120.1139171,133.3660786
2021-06-10,127.1299973,120.5058932,133.7541013
2021-06-11,126.1100006,119.4877158,132.7322854
2021-06-14,127.3499985,120.7294441,133.9705529
